dimension,location,count,mean_price,mean_price_per_m2,mean_area
province_name,An Giang,4,2157500000.0,28824400.875836164,80.325
province_name,Bà Rịa - Vũng Tàu,112,6965478571.428572,44915972.43492565,235.73125000000002
province_name,Bình Dương,365,4315066356.164384,38653428.096953176,142.40427397260274
province_name,Bình Phước,16,1610937500.0,8875636.4621788,335.875
province_name,Bình Thuận,16,5781875000.0,39886865.287199594,145.37375
province_name,Bình Định,27,6813518518.518518,43457294.91871303,128.48703703703703
province_name,Bắc Giang,16,4485255187.5,48054798.56261708,93.24375
province_name,Bắc Ninh,48,8032796875.0,58714640.11824901,130.53020833333332
province_name,Bến Tre,12,3824333333.3333335,16506136.661578663,277.9916666666667
province_name,Cần Thơ,17,7332319411.764706,68975033.824937,165.33352941176472
province_name,Gia Lai,2,1450000000.0,5667735.042735043,266.25
province_name,Huế,22,6795681818.181818,42515666.17436096,167.85000000000002
province_name,Hà Nam,23,5120900000.0,61068315.60962976,124.97826086956522
province_name,Hà Nội,3045,14398117083.743513,197529428.0857542,80.31275862068966
province_name,Hà Tĩnh,4,4570000000.0,12044789.228833199,302.75
province_name,Hòa Bình,25,5471435256.0,13955372.059767913,399.10400000000004
province_name,Hưng Yên,169,9771508875.739645,98680677.40884836,93.95508875739645
province_name,Hải Dương,7,4558571428.571428,46938629.4518678,110.98571428571428
province_name,Hải Phòng,197,6864986802.030457,70531582.05224395,96.7433502538071
province_name,Hậu Giang,2,712500000.0,5258873.456790123,160.5
province_name,Hồ Chí Minh,3360,13451069643.12143,127991441.4898061,107.22684821428572
province_name,Khánh Hòa,253,7249544664.031621,62103526.56036228,125.19260869565217
province_name,Kiên Giang,10,9554000000.0,50532411.89440138,292.11
province_name,Kon Tum,1,3500000000.0,21212121.21212121,165.0
province_name,Lai Châu,1,1550000000.0,6512605.042016807,238.0
province_name,Long An,111,3150082882.882883,25845908.65142433,136.5034234234234
province_name,Lào Cai,4,11724750000.0,116225880.40191202,106.0
province_name,Lâm Đồng,65,9309921230.76923,31801917.888233475,365.43938461538465
province_name,Nam Định,13,1736069230.7692308,22797020.91887745,86.96153846153847
province_name,Nghệ An,16,6854312500.0,52914872.09009342,135.14375
province_name,Ninh Bình,3,5666666666.666667,59956150.65382507,95.33333333333333
province_name,Ninh Thuận,9,1943333333.3333333,21726749.318617005,147.55555555555554
province_name,Phú Thọ,13,5726538461.538462,49782843.759320445,169.6823076923077
province_name,Phú Yên,5,6465600000.0,30251402.30705167,341.6
province_name,Quảng Bình,3,8390000000.0,30096718.48013817,311.6666666666667
province_name,Quảng Nam,44,6215113636.363636,25877128.80815733,254.8
province_name,Quảng Ngãi,11,2806363636.3636365,24309453.963993344,180.22727272727272
province_name,Quảng Ninh,57,8039954385.964912,54512614.8661602,153.90105263157895
province_name,Thanh Hóa,22,4440454545.454545,33942152.81029021,151.3409090909091
province_name,Thái Bình,2,2140000000.0,35786666.66666667,81.25
province_name,Thái Nguyên,16,2976500000.0,30512965.630447034,100.13125
province_name,Tiền Giang,9,3086666666.6666665,7953060.665356494,381.28
province_name,Tuyên Quang,1,6000000000.0,50000000.0,120.0
province_name,Tây Ninh,15,2268933333.3333335,11871066.18434506,246.77333333333334
province_name,Vĩnh Long,9,2141111111.1111112,13344211.84910956,363.32222222222225
province_name,Vĩnh Phúc,17,4085882352.9411764,32250257.260565184,130.7705882352941
province_name,Yên Bái,1,5200000000.0,52000000.0,100.0
province_name,Điện Biên,1,7500000000.0,75000000.0,100.0
province_name,Đà Nẵng,517,13614314119.92263,96392895.71122324,140.74528046421662
province_name,Đắk Lắk,15,2556333333.3333335,21694972.74945153,193.13066666666666
province_name,Đắk Nông,3,2639999999.6666665,4942244.011198681,851.7633333333333
province_name,Đồng Nai,124,4424967741.935484,30588602.898934856,178.3326612903226
province_name,Đồng Tháp,4,4575000000.0,10266392.718275009,389.25
district_name,An Giang - Long Xuyên,4,2157500000.0,28824400.875836164,80.325
district_name,Bà Rịa - Vũng Tàu - Bà Rịa,19,3032631578.9473686,20721920.60404285,213.13473684210527
district_name,Bà Rịa - Vũng Tàu - Châu Đức,5,1602400000.0,4527889.072794905,470.78000000000003
district_name,Bà Rịa - Vũng Tàu - Long Đất,9,3442222222.2222223,15568877.001790276,344.8333333333333
district_name,Bà Rịa - Vũng Tàu - Phú Mỹ,11,4126363636.3636365,23505987.71776369,210.8181818181818
district_name,Bà Rịa - Vũng Tàu - Vũng Tàu,41,12730487804.878048,91449360.58651842,128.20585365853657
district_name,Bà Rịa - Vũng Tàu - Xuyên Mộc,10,4664000000.0,10914433.42278038,453.18999999999994
district_name,Bình Dương - Bàu Bàng,14,1684785714.2857144,12874967.379290888,260.5357142857143
district_name,Bình Dương - Bắc Tân Uyên,1,1500000000.0,9036144.578313254,166.0
district_name,Bình Dương - Bến Cát,18,1723333333.3333333,14424170.197479686,159.27777777777777
district_name,Bình Dương - Dĩ An,142,4490047887.323944,48573148.48126115,89.56429577464789
district_name,Bình Dương - Dầu Tiếng,2,1050000000.0,1346241.1991823756,963.5
district_name,Bình Dương - Phú Giáo,5,1576000000.0,6886674.037384579,505.0
district_name,Bình Dương - Thuận An,91,4449191428.571428,39827406.550337344,118.27637362637363
district_name,Bình Dương - Thủ Dầu Một,63,5658555555.555555,36741357.73257686,189.0285714285714
district_name,Bình Dương - Tân Uyên,29,3791724137.9310346,27105794.268533673,188.10275862068968
district_name,Bình Phước - Bình Long,1,1100000000.0,1208791.2087912087,910.0
district_name,Bình Phước - Bù Đăng,2,1350000000.0,3200000.0,500.0
district_name,Bình Phước - Chơn Thành,7,1275000000.0,7422486.772486771,244.28571428571428
district_name,Bình Phước - Phước Long,1,1600000000.0,3333333.3333333335,480.0
district_name,Bình Phước - Đồng Phú,1,600000000.0,3571428.5714285714,168.0
district_name,Bình Phước - Đồng Xoài,4,2712500000.0,18884805.718475074,276.5
district_name,Bình Thuận - Bắc Bình,1,1450000000.0,14572864.32160804,99.5
district_name,Bình Thuận - Hàm Thuận Bắc,1,860000000.0,8600000.0,100.0
district_name,Bình Thuận - La Gi,1,880000000.0,8800000.0,100.0
district_name,Bình Thuận - Phan Thiết,12,7390833333.333333,50018081.689465456,160.12333333333333
district_name,Bình Thuận - Tuy Phong,1,630000000.0,6000000.0,105.0
district_name,Bình Định - Phù Cát,1,7425000000.0,33000000.0,225.0
district_name,Bình Định - Phù Mỹ,1,1290000000.0,15176470.588235294,85.0
district_name,Bình Định - Quy Nhơn,21,7988095238.095238,51161557.83043994,119.95952380952382
district_name,Bình Định - Tuy Phước,3,2166666666.6666665,15259259.25925926,146.66666666666666
district_name,Bình Định - Vân Canh,1,1000000000.0,5000000.0,200.0
district_name,Bắc Giang - Bắc Giang,6,7842833333.333333,87267094.01709402,80.91666666666667
district_name,Bắc Giang - Hiệp Hòa,3,2673333333.3333335,24356602.480807442,109.03333333333335
district_name,Bắc Giang - Lạng Giang,1,1900000000.0,22352941.17647059,85.0
district_name,Bắc Giang - Lục Nam,2,1225000000.0,10850340.136054423,113.75
district_name,Bắc Giang - Việt Yên,4,3084270750.0,32037696.002076842,91.7
district_name,Bắc Ninh - Bắc Ninh,3,6490000000.0,56767195.76719576,106.66666666666667
district_name,Bắc Ninh - Gia Bình,2,3300000000.0,34166666.666666664,95.0
district_name,Bắc Ninh - Lương Tài,1,1060000000.0,11777777.777777778,90.0
district_name,Bắc Ninh - Quế Võ,1,1350000000.0,11250000.0,120.0
district_name,Bắc Ninh - Thuận Thành,8,5578750000.0,55373542.10587126,86.5
district_name,Bắc Ninh - Tiên Du,4,6775000000.0,42275668.259252556,169.0
district_name,Bắc Ninh - Từ Sơn,27,10430157407.407408,70115572.07224824,149.35
district_name,Bắc Ninh - Yên Phong,2,1875000000.0,25714285.714285716,72.5
