dimension,group,count,mean_price,median_price,std_price,min_price,max_price,mean_price_per_m2,median_price_per_m2
overall,ALL,8864,12157326000.14508,7500000000.0,14484571466.739916,550000000.0,115000000000.0,132708791.02271362,97777777.77777778
property_type_name,Biệt thự/Nhà liền kề,667,25963421664.167915,18500000000.0,,,,170443196.6287955,
property_type_name,Căn hộ chung cư,1884,6638743382.69586,4850000000.0,,,,74707658.97018883,
property_type_name,Nhà,4185,13952924000.212187,8900000000.0,,,,186385297.5425833,
property_type_name,Shophouse,147,12922816326.530613,8800000000.0,,,,116971657.19834122,
property_type_name,Đất,1981,8907068117.818779,4500000000.0,,,,62937192.40293996,
